SampleID,Site,Depth (cm),Gravel (%),Sand (%),Silt & Clay (%)
BF 6-1A,BF6,0--1,17.3,32.3,50.5
BF 6-1A,BF6,1--3,16.2,56.2,27.7
BF 6-1B,BF6,0--1,0.0,77.2,22.8
BF 6-1B,BF6,1--3,8.8,60.4,30.8
BF 6-2,BF6,0--1,10.3,60.1,29.7
BF 6-2,BF6,1--3,15.4,53.5,31.1
BF 6-3A,BF6,0--1,0.0,99.1,0.9
BF 6-3A,BF6,1--3,0.0,84.3,15.7
BF 6-3B,BF6,0--1,0.0,43.2,56.8
BF 6-3B,BF6,1--3,0.0,75.1,24.9
BF 6-4,BF6,0--1,9.4,87.5,3.1
BF 6-4,BF6,1--3,18.0,76.4,5.6
BF 6-5A,BF6,0--1,1.3,81.0,17.7
BF 6-5A,BF6,1--3,25.3,61.9,12.8
BF 6-5B,BF6,0--1,0.0,86.8,13.2
BF 6-5B,BF6,1--3,13.2,70.2,16.7
BF 6-6,BF6,0--1,0.0,98.4,1.6
BF 6-6,BF6,1--3,4.3,91.7,4.0
BF 6-7A,BF6,0--1,0.0,68.8,31.2
BF 6-7A,BF6,1--3,8.8,66.4,24.8
BF 6-7B,BF6,0--1,0.8,62.7,36.5
BF 6-7B,BF6,1--3,1.7,39.1,59.2
BF 6-8,BF6,0--1,0.0,92.8,7.2
BF 6-8,BF6,1--3,16.1,66.5,17.5
BF 6-9A,BF6,0--1,0.0,58.0,42.0
BF 6-9A,BF6,1--3,0.0,72.9,27.1
BF 6-9B,BF6,0--1,0.0,97.4,2.6
BF 6-9B,BF6,1--3,7.5,88.3,4.2
BF 6-10,BF6,0--1,6.0,90.6,3.3
BF 6-10,BF6,1--3,23.6,64.2,12.2
BF 5-1A,BF5,0--1,0.0,78.5,21.5
BF 5-1A,BF5,1--3,0.0,69.6,30.4
BF 5-1B,BF5,0--1,0.0,73.3,26.7
BF 5-1B,BF5,1--3,0.0,74.9,25.1
BF 5-2,BF5,0--1,0.0,74.5,25.6
BF 5-2,BF5,1--3,0.0,76.8,23.2
BF 5-3A,BF5,0--1,1.2,61.1,37.7
BF 5-3A,BF5,1--3,2.1,70.1,27.9
BF 5-3B,BF5,0--1,0.0,62.8,37.2
BF 5-3B,BF5,1--3,2.1,59.5,38.4
BF 5-4,BF5,0--1,0.0,85.2,14.8
BF 5-4,BF5,1--3,0.2,70.4,29.5
BF 5-5A,BF5,0--1,0.0,98.1,1.9
BF 5-5A,BF5,1--3,0.0,71.1,28.9
BF 5-5B,BF5,0--1,0.0,94.2,5.8
BF 5-5B,BF5,1--3,0.0,95.7,4.4
BF 5-6,BF5,0--1,0.3,85.3,14.4
BF 5-6,BF5,1--3,4.2,85.0,10.9
BF 5-7A,BF5,0--1,0.0,95.8,4.2
BF 5-7A,BF5,1--3,4.3,84.4,11.3
BF 5-7B,BF5,0--1,0.0,93.3,6.7
BF 5-7B,BF5,1--3,0.0,83.6,16.4
BF 5-8,BF5,0--1,0.0,98.8,1.2
BF 5-8,BF5,1--3,0.0,92.8,7.3
BF 5-9A,BF5,0--1,0.0,95.7,4.4
BF 5-9A,BF5,1--3,1.4,76.3,22.3
BF 5-9B,BF5,0--1,0.0,49.4,50.6
BF 5-9B,BF5,1--3,0.0,74.2,25.8
BF 5-10,BF5,0--1,0.0,57.6,42.5
BF 5-10,BF5,1--3,2.4,65.4,32.3
BF 3-1A,BF3,0--1,6.6,78.2,15.2
BF 3-1A,BF3,1--3,10.7,65.4,23.9
BF 3-1B,BF3,0--1,0.3,72.9,26.9
BF 3-1B,BF3,1--3,12.8,65.5,21.8
BF 3-2,BF3,0--1,0.0,98.3,1.7
BF 3-2,BF3,1--3,9.5,46.8,43.6
BF 3-3A,BF3,0--1,0.0,75.9,24.1
BF 3-3A,BF3,1--3,3.2,74.9,21.9
BF 3-3B,BF3,0--1,0.7,71.7,27.5
BF 3-3B,BF3,1--3,12.2,63.4,24.4
BF 3-4,BF3,0--1,0.0,77.2,22.8
BF 3-4,BF3,1--3,4.1,62.1,33.8
BF 3-5A,BF3,0--1,29.2,43.3,27.5
BF 3-5A,BF3,1--3,16.5,51.3,32.2
BF 3-5B,BF3,0--1,11.4,49.6,39.0
BF 3-5B,BF3,1--3,10.2,51.7,38.1
BF 3-6,BF3,0--1,1.1,64.7,34.2
BF 3-6,BF3,1--3,1.0,64.8,34.2
BF 3-7A,BF3,0--1,15.1,58.7,26.2
BF 3-7A,BF3,1--3,4.9,71.2,23.9
BF 3-7B,BF3,0--1,12.5,63.7,23.9
BF 3-7B,BF3,1--3,7.7,65.2,27.1
BF 3-8,BF3,0--1,1.8,89.2,9.0
BF 3-8,BF3,1--3,16.3,67.2,16.5
BF 3-9A,BF3,0--1,0.0,55.8,44.2
BF 3-9A,BF3,1--3,2.2,70.1,27.7
BF 3-9B,BF3,0--1,0.2,56.6,43.2
BF 3-9B,BF3,1--3,0.8,67.9,31.3
BF 3-10,BF3,0--1,5.3,68.8,25.9
BF 3-10,BF3,1--3,13.5,67.1,19.4
BF 4-1A,BF4,0--1,2.3,65.0,32.7
BF 4-1A,BF4,1--3,3.4,73.9,22.7
