SampleID,Site,Depth (cm),Gravel (%),Sand (%),Silt & Clay (%)
BF 1-1A,BF1,0--1,4.3,71.5,24.2
BF 1-1A,BF1,1--3,8.6,69.6,21.8
BF 1-2,BF1,0--1,0.0,83.7,16.3
BF 1-2,BF1,1--3,1.4,67.9,30.7
BF 1-3A,BF1,0--1,23.7,58.0,18.4
BF 1-3A,BF1,1--3,15.2,63.5,21.3
BF 1-4,BF1,0--1,0.2,71.1,28.7
BF 1-4,BF1,1--3,1.1,71.6,27.3
BF 1-5A,BF1,0--1,0.5,67.4,32.1
BF 1-5A,BF1,1--3,1.1,64.9,34.0
BF 1-6,BF1,0--1,8.6,70.5,20.9
BF 1-6,BF1,1--3,5.2,76.9,17.9
BF 1-7A,BF1,0--1,2.9,79.0,18.0
BF 1-7A,BF1,1--3,5.6,80.2,14.2
BF 1-8,BF1,0--1,3.4,68.9,27.8
BF 1-8,BF1,1--3,3.2,73.4,23.4
BF 1-9A,BF1,0--1,3.2,69.1,27.7
BF 1-9A,BF1,1--3,13.2,70.9,15.9
BF 1-10,BF1,0--1,15.0,54.8,30.1
BF 1-10,BF1,1--3,13.0,59.6,27.4
BF 3-1A,BF3,0--1,9.0,79.5,11.4
BF 3-1A,BF3,1--3,8.8,75.3,15.9
BF 3-2,BF3,0--1,2.3,73.2,24.5
BF 3-2,BF3,1--3,2.3,79.9,17.8
BF 3-3A,BF3,0--1,0.4,79.4,20.2
BF 3-3A,BF3,1--3,9.0,74.0,17.1
BF 3-4,BF3,0--1,0.0,78.0,22.0
BF 3-4,BF3,1--3,3.4,76.9,19.7
BF 3-5A,BF3,0--1,0.0,79.5,20.5
BF 3-5A,BF3,1--3,6.5,71.6,21.9
BF 3-6,BF3,0--1,0.2,81.7,18.1
BF 3-6,BF3,1--3,2.1,75.3,22.6
BF 3-7A,BF3,0--1,0.4,79.1,20.5
BF 3-7A,BF3,1--3,12.3,71.5,16.2
BF 3-8,BF3,0--1,2.5,87.1,10.4
BF 3-8,BF3,1--3,15.1,73.2,11.6
BF 3-9A,BF3,0--1,0.0,79.8,20.2
BF 3-9A,BF3,1--3,9.8,72.2,18.0
BF 3-10,BF3,0--1,2.4,84.7,12.9
BF 3-10,BF3,1--3,8.2,73.4,18.4
BF 4-1A,BF4,0--1,3.9,68.7,27.4
BF 4-1A,BF4,1--3,8.0,68.4,23.6
BF 4-2,BF4,0--1,0.2,73.9,25.9
BF 4-2,BF4,1--3,1.3,73.6,25.0
BF 4-3A,BF4,0--1,6.3,66.3,27.3
BF 4-3A,BF4,1--3,7.6,68.4,24.0
BF 4-4,BF4,0--1,0.0,69.1,30.9
BF 4-4,BF4,1--3,7.3,68.1,24.7
BF 4-5A,BF4,0--1,6.7,69.9,23.4
BF 4-5A,BF4,1--3,5.3,71.1,23.6
BF 4-6,BF4,0--1,4.3,67.0,28.7
BF 4-6,BF4,1--3,13.5,63.6,22.9
BF 4-7A,BF4,0--1,0.3,65.8,33.9
BF 4-7A,BF4,1--3,3.0,69.2,27.8
BF 4-8,BF4,0--1,11.5,58.5,29.9
BF 4-8,BF4,1--3,12.2,60.6,27.2
BF 4-9A,BF4,0--1,3.4,65.8,30.8
BF 4-9A,BF4,1--3,5.3,70.2,24.5
BF 4-10,BF4,0--1,1.3,73.5,25.2
BF 4-10,BF4,1--3,3.1,73.0,23.8
BF 5-1A,BF5,0--1,2.7,89.2,8.1
BF 5-1A,BF5,1--3,8.1,82.8,9.0
BF 5-2,BF5,0--1,4.2,79.8,16.0
BF 5-2,BF5,1--3,2.5,81.8,15.6
BF 5-3A,BF5,0--1,3.9,80.4,15.7
BF 5-3A,BF5,1--3,11.5,73.7,14.9
BF 5-4,BF5,0--1,0.2,77.9,21.9
BF 5-4,BF5,1--3,0.6,81.2,18.3
BF 5-5A,BF5,0--1,0.0,93.2,6.8
BF 5-5A,BF5,1--3,0.3,79.0,20.7
BF 5-6,BF5,0--1,10.7,78.4,10.9
BF 5-6,BF5,1--3,12.4,77.3,10.3
BF 5-7A,BF5,0--1,0.0,87.9,12.1
BF 5-7A,BF5,1--3,2.3,86.4,11.3
BF 5-8,BF5,0--1,1.4,83.9,14.8
BF 5-8,BF5,1--3,0.5,84.8,14.7
BF 5-9A,BF5,0--1,2.3,82.3,15.4
BF 5-9A,BF5,1--3,4.5,85.9,9.5
BF 5-10,BF5,0--1,10.2,80.1,9.6
BF 5-10,BF5,1--3,14.1,74.4,11.4
BF 6-1A,BF6,0--1,38.4,46.6,14.9
BF 6-1A,BF6,1--3,25.5,53.5,21.0
BF 6-2,BF6,0--1,9.8,78.4,11.9
BF 6-2,BF6,1--3,22.3,64.5,13.2
BF 6-3A,BF6,0--1,0.0,88.6,11.4
BF 6-3A,BF6,1--3,6.1,68.4,25.5
BF 6-4,BF6,0--1,6.8,80.0,13.2
BF 6-4,BF6,1--3,3.7,79.4,16.9
BF 6-5A,BF6,0--1,10.1,64.4,25.5
BF 6-5A,BF6,1--3,23.2,57.7,19.1
BF 6-6,BF6,0--1,14.4,72.9,12.6
BF 6-6,BF6,1--3,16.4,70.7,12.9
BF 6-7A,BF6,0--1,22.0,71.3,6.7
BF 6-7A,BF6,1--3,23.3,62.3,14.4
BF 6-8,BF6,0--1,8.2,75.5,16.4
BF 6-8,BF6,1--3,17.9,70.5,11.6
BF 6-9A,BF6,0--1,3.2,90.5,6.3
BF 6-9A,BF6,1--3,6.8,84.3,8.9
BF 6-10,BF6,0--1,18.8,66.2,15.0
BF 6-10,BF6,1--3,15.8,60.8,23.4
