SampleID,Site,0-1.0 cm,1.0-3.0 cm,3.0-6.0 cm
BF1-1A,BF1,0.76,0.86,1.08
BF1-1B,BF1,1.00,0.98,1.35
BF1-2,BF1,1.05,1.13,1.16
BF1-3A,BF1,1.54,1.32,1.50
BF1-3B,BF1,1.78,1.35,1.55
BF1-4,BF1,1.27,1.06,1.29
BF1-5A,BF1,1.51,0.89,1.02
BF1-5B,BF1,1.73,0.90,1.05
BF1-6,BF1,0.61,0.57,1.14
BF1-7A,BF1,1.26,1.08,1.48
BF1-7B,BF1,1.34,1.27,1.48
BF1-8,BF1,1.45,1.11,1.24
BF1-9A,BF1,0.80,0.82,1.54
BF1-9B,BF1,0.97,1.27,1.31
BF1-10,BF1,0.50,0.98,1.26
BF2-1A,BF2,1.19,1.46,1.47
BF2-1B,BF2,1.69,1.32,1.42
BF2-2,BF2,1.13,0.82,1.25
BF2-3A,BF2,1.49,1.31,1.59
BF2-3B,BF2,1.51,1.47,1.56
BF2-4,BF2,1.54,1.18,1.27
BF2-5A,BF2,0.78,0.98,1.19
BF2-5B,BF2,1.02,1.26,1.38
BF2-6,BF2,1.58,1.09,1.35
BF2-7A,BF2,1.52,1.40,1.62
BF2-7B,BF2,1.78,1.27,1.62
BF2-8,BF2,1.90,1.27,1.28
BF2-9A,BF2,1.38,1.31,1.46
BF2-9B,BF2,1.45,1.20,1.44
BF2-10,BF2,1.11,1.03,1.32
BF3-1A,BF3,0.79,1.27,1.37
BF3-1B,BF3,0.45,1.15,1.42
BF3-2,BF3,0.33,0.39,1.10
BF3-3A,BF3,0.53,0.82,1.46
BF3-3B,BF3,0.69,1.05,1.36
BF3-4,BF3,0.66,0.97,1.39
BF3-5A,BF3,1.23,1.30,1.62
BF3-5B,BF3,0.95,1.69,1.36
BF3-6,BF3,0.76,1.05,1.27
BF3-7A,BF3,0.36,0.61,1.07
BF3-7B,BF3,0.71,0.80,1.24
BF3-8,BF3,0.28,1.15,1.47
BF3-9A,BF3,0.59,0.73,1.01
BF3-9B,BF3,0.63,0.73,0.98
BF3-10,BF3,0.49,1.08,1.28
BF4-1A,BF4,0.95,1.17,1.46
BF4-1B,BF4,1.12,1.27,1.29
BF4-2,BF4,0.52,0.95,1.34
BF4-3A,BF4,1.49,1.40,1.73
BF4-3B,BF4,1.14,1.37,1.50
BF4-4,BF4,1.30,1.49,1.49
BF4-5A,BF4,1.06,1.08,1.26
BF4-5B,BF4,0.56,0.87,1.21
BF4-6,BF4,0.98,1.23,1.41
BF4-7A,BF4,0.95,1.00,1.54
BF4-7B,BF4,1.32,1.24,1.20
BF4-8,BF4,1.49,1.27,1.72
BF4-9A,BF4,1.47,1.26,1.43
BF4-9B,BF4,1.19,1.31,1.42
BF4-10,BF4,1.06,1.15,1.54
BF5-1A,BF5,0.50,0.73,1.23
BF5-1B,BF5,0.31,0.70,1.29
BF5-2,BF5,0.50,0.60,1.10
BF5-3A,BF5,1.36,1.21,1.29
BF5-3B,BF5,1.02,1.53,1.20
BF5-4,BF5,0.48,0.75,1.01
BF5-5A,BF5,0.35,0.61,1.09
BF5-5B,BF5,0.20,0.60,0.95
BF5-6,BF5,0.43,0.78,1.00
BF5-7A,BF5,0.34,0.77,1.10
BF5-7B,BF5,0.28,0.73,1.38
BF5-8,BF5,0.29,0.30,0.77
BF5-9A,BF5,0.40,0.57,1.19
BF5-9B,BF5,0.22,0.42,1.01
BF5-10,BF5,0.44,0.49,0.99
BF6-1A,BF6,0.22,0.46,1.27
BF6-1B,BF6,0.38,0.58,1.14
BF6-2,BF6,0.73,0.83,1.29
BF6-3A,BF6,0.21,0.28,0.60
BF6-3B,BF6,0.23,0.42,0.64
BF6-4,BF6,0.41,0.53,1.01
BF6-5A,BF6,0.53,0.57,1.34
BF6-5B,BF6,0.35,0.70,1.25
BF6-6,BF6,0.32,0.36,0.88
BF6-7A,BF6,0.31,0.69,1.03
BF6-7B,BF6,0.44,0.42,1.26
BF6-8,BF6,0.33,0.66,1.20
BF6-9A,BF6,0.24,0.42,0.98
BF6-9B,BF6,0.26,0.28,1.07
BF6-10,BF6,0.41,0.97,1.47
